000001|aa|e|p|e|1983-12-19|1979-10-07|Y|s|res|so|Decision rise but else material. Face majorit|out|1997-08-03|type|if|j|U|e|o|A|k|Mi|Co|Se|Ai|Wi|To|So|Co|Ag|Br|Co|So|En|Th|Wi|Sh|We|Ed|Fo|Gl|La|Aw|If |Si|War|Op|Ap|2001-09-08|v|127.7|I
000002|aa|S|j|M|1994-05-06|2009-04-25|i|D|foo|mi|Child treat whom dark. Management account publ|cover|1973-08-23|material|drug|V|g|L|Z|Z|C|Mo|Jo|So|La|No|Ap|Fe|Am|Al|Id|We|Ha|Me|Ca|Po|Im|Co|On|Ad|Li|De|Tre|Pr|He|Rol|Ent|Ru|2006-03-24|c|6170.5|F
000003|aa|D|T|f|1995-09-15|1985-10-31|B|y|rel|ga|Avoid research inside true question. Treatment use subject con|almost|2018-04-19|interestin|histor|l|U|J|V|c|J|Si|Ga|Am|So|Ar|Be|Kn|Un|Co|Ha|Pa|Tr|Ac|Mo|Ma|Pi|Di|Sm|Ca|Pr|Ec|Wi|Fe|Pre|Pho|Tv |Gr|1989-07-20|s|3864.5|d
000004|aa|T|h|A|2005-09-26|1988-08-22|w|l|wil|ar|Lawyer road item life ball suffer theory. Difficult allow e|messag|1972-05-09|onto|return|C|j|i|A|P|k|Do|Ne|Ag|Ro|In|Tu|Ke|Du|Me|So|Gr|Te|St|In|Wi|Re|Bo|Dr|I |Be|Ow|Ho|Stu|Inv|Aro|Of|Re|1998-03-17|i|5556.2|y
000005|aa|r|E|Y|1975-03-29|1988-01-03|b|m|bet|fo|Yard now fact indicate strong strategy financial. Pain|relate|1977-10-02|project|low|z|c|d|U|l|G|Re|Jo|Wr|Wh|An|Sh|Al|An|Wo|Co|Of|Mo|Te|On|Ap|Re|Ce|Ye|Th|Of|Be|Le|Ec|Int|Ex|Am|Ch|1989-12-06|L|5647.2|i
000006|aa|C|G|a|1978-02-28|1980-02-28|q|t|for|ta|Its memory forward per employee one person trouble. Tax life lea|both|1983-10-30|black|world|U|q|z|r|x|d|Ha|Ge|We|Se|St|Be|Le|To|Pa|Ki|Sy|Mi|Re|Pr|Gi|Ca|Sk|Pr|Re|In|Li|Tot|Pa|Es|Gr|Ma|Fu|1970-09-04|Y|3921.0|D
000007|aa|o|K|A|2006-12-15|1996-06-22|T|l|sor|fu|Turn sell sell oil. Various factor job.|whose|1985-05-20|realize|milita|t|D|W|m|S|G|Bo|Of|Co|Fu|Ow|Ro|Ho|Re|Ea|Lo|Th|Mo|St|Pu|Ar|St|Cr|So|Ma|Li|Pr|Rul|Ce|Br|Aga|Res|Pl|1971-12-18|U|6697.9|H
000008|aa|t|D|R|2014-06-19|2012-03-01|p|k|dar|em|Two option lawyer degree draw. Bank leave wonder then|east|1985-08-24|blood|tough|E|O|I|F|f|b|Ex|Tr|Bu|Ne|Le|Br|Bi|Pe|Fo|St|To|Cu|Te|Ro|Be|Se|Al|Mi|Re|Co|Bo|Cit|Ti|Act|Bu|Oil|Mod|1985-02-16|f|9471.8|b
000009|aa|S|V|g|1987-04-11|1999-03-02|w|f|eas|ba|Office sea value entire ever imagine lawyer. Conta|story|1980-06-01|I|person|T|o|e|Q|R|h|At|Se|Is|La|Ni|Es|Re|Fa|Na|Ta|Pr|At|Ca|Ne|Me|Ro|Re|Un|St|Ac|De|Enj|Re|Ta|Aft|Pre|Per|1983-01-22|e|4748.6|N
000010|aa|g|R|V|2001-10-26|2000-02-25|F|E|yea|ki|Expert such seat word. Receive rest so remain who often|well|2003-12-09|agency|patter|K|C|U|c|n|I|Qu|Es|Bi|Co|As|Wo|Vo|Cl|De|Pr|Ch|To|Pr|Fo|Re|Wh|Ci|En|St|Ev|Vo|Res|Th|Sev|Ba|Fa|St|1974-03-26|D|7238.4|m
